Designator,Mid X,Mid Y,Rotation,Layer
C1,17.394936,-10.223703,315.0,bottom
C10,1.262295,-1.55811,45.0,bottom
C11,9.333919,-2.127331,135.0,bottom
C12,8.229861,-12.646893,225.0,bottom
C13,3.189161,-11.72277,315.0,bottom
C14,8.686916,-1.480328,135.0,bottom
C15,-0.088279,-8.933233,315.0,bottom
C16,4.637473,0.085341,90.0,bottom
C17,10.200125,-5.150212,225.0,bottom
C18,-0.26,-3.17,45.0,bottom
C19,20.46378,-7.133647,135.0,bottom
C2,9.679861,-15.546893,225.0,bottom
C20,-25.4925,-7.165,180.0,bottom
C21,-25.5175,-1.165,180.0,bottom
C22,-25.5225,-2.115,180.0,bottom
C23,-25.5175,-0.215,180.0,bottom
C24,-25.1925,1.285,180.0,bottom
C25,-25.4925,2.81,180.0,bottom
C26,-21.2925,-0.965,180.0,bottom
C27,-21.38,-9.29,0.0,bottom
C28,14.6,-32.2,0.0,bottom
C29,-16.8,-10.67,180.0,bottom
C3,-2.270139,-1.996893,315.0,bottom
C30,-25.4925,-6.215,180.0,bottom
C31,-23.6925,-0.965,0.0,bottom
C32,33.0,16.0,270.0,top
C33,29.5,16.0,270.0,top
C34,-23.75,16.0,225.0,top
C35,-19.66,16.71,315.0,top
C36,5.4,-26.6,180.0,bottom
C37,-26.98,0.01,0.0,top
C38,-16.69,-7.11,180.0,bottom
C39,22.52,-12.26,90.0,bottom
C4,-0.170139,0.103107,135.0,bottom
C40,10.9,-6.44,135.0,bottom
C5,19.65,-1.5,135.0,bottom
C6,9.468269,-7.989246,135.0,bottom
C7,10.140021,-8.660997,135.0,bottom
C8,1.538067,-10.701,315.0,bottom
C9,25.0,-31.8,90.0,bottom
D1,-21.0925,-3.815,90.0,bottom
D10,-25.5,18.0,315.0,top
D11,20.7,-25.7,180.0,bottom
D2,-22.1925,-7.415,180.0,bottom
D3,-23.3925,-3.815,270.0,bottom
D4,16.1,-28.9,90.0,bottom
D5,31.5,18.0,225.0,top
D6,35.0,18.0,225.0,top
D7,-18.5,18.0,315.0,top
D8,28.0,18.0,225.0,top
D9,-22.0,18.0,315.0,top
J1,4.412473,-35.689659,0.0,bottom
J3,45.44,-32.348183,270.0,bottom
J5,4.762473,-18.789659,270.0,top
L1,11.267856,-9.866614,135.0,bottom
L2,-20.66,-12.36,0.0,bottom
Q2,16.3625,-25.7,0.0,bottom
Q3,-24.71,-10.8275,90.0,bottom
R1,4.497308,-12.429876,225.0,bottom
R10,15.9,-30.9,180.0,bottom
R11,24.53,16.04,0.0,top
R12,-25.4925,-8.115,180.0,bottom
R13,-25.75,-12.71,90.0,bottom
R14,21.2,-27.4,180.0,bottom
R15,-1.03,3.16,135.0,top
R16,11.63,-7.8,45.0,bottom
R2,0.608221,-2.212183,45.0,bottom
R3,41.45,-26.55,180.0,bottom
R4,5.5,1.25,225.0,bottom
R5,42.0,-38.2,0.0,bottom
R6,3.733633,-13.193552,45.0,bottom
R7,8.792982,-11.846513,45.0,bottom
R8,9.49125,-11.148245,45.0,bottom
R9,24.7,-29.3,90.0,bottom
SW1,-0.4,-15.5,315.0,bottom
SW2,1.95,2.7,45.0,bottom
SW3,-4.987527,-24.189659,0.0,top
SW4,1.512473,-24.189659,0.0,top
SW5,8.012473,-24.189659,0.0,top
SW6,14.512473,-24.189659,0.0,top
U1,4.762473,-6.189659,225.0,bottom
U2,15.609491,-4.725948,225.0,bottom
U3,38.6,-32.2,180.0,bottom
U4,-30.3925,-3.215,90.0,bottom
U5,4.690154,-17.830677,45.0,bottom
U6,20.525,-30.605,270.0,bottom
Y1,-3.08,0.65,135.0,bottom
